,tconst,title,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,file_name
263,tt0137523,Fight Club,0,1999,139,Drama,8.8,2028873.0,fight-club
264,tt0138097,Shakespeare in Love,0,1998,123,"Comedy,Drama,History",7.1,222924.0,shakespeare-in-love
265,tt0138524,Intolerable Cruelty,0,2003,100,"Comedy,Crime,Romance",6.3,96541.0,intolerable-cruelty
266,tt0138704,Pi,0,1998,84,"Drama,Horror,Mystery",7.3,176856.0,pi
267,tt0139134,Cruel Intentions,0,1999,97,"Drama,Romance",6.8,189451.0,cruel-intentions
268,tt0139414,Lake Placid,0,1999,82,"Action,Comedy,Horror",5.7,60555.0,lake-placid
269,tt0139654,Training Day,0,2001,122,"Action,Crime,Drama",7.7,423611.0,training-day
270,tt0140397,Mumford,0,1999,112,"Comedy,Drama",6.8,9207.0,mumford
271,tt0144084,American Psycho,0,2000,102,"Crime,Drama,Horror",7.6,563288.0,american-psycho
272,tt0144814,The Rage: Carrie 2,0,1999,104,"Horror,Sci-Fi,Thriller",4.7,16495.0,the-rage:-carrie-2
273,tt0144964,Highlander: Endgame,0,2000,87,"Action,Adventure,Fantasy",4.6,20273.0,highlander:-endgame
274,tt0145487,Spider-Man,0,2002,121,"Action,Adventure,Sci-Fi",7.4,792559.0,spider-man
275,tt0146309,Thirteen Days,0,2000,145,"Drama,History,Thriller",7.3,58320.0,thirteen-days
276,tt0146882,High Fidelity,0,2000,113,"Comedy,Drama,Music",7.5,177874.0,high-fidelity
277,tt0147800,10 Things I Hate About You,0,1999,97,"Comedy,Drama,Romance",7.3,328579.0,10-things-i-hate-about-you
278,tt0151738,Never Been Kissed,0,1999,107,"Comedy,Drama,Romance",6.0,89615.0,never-been-kissed
279,tt0151804,Office Space,0,1999,89,Comedy,7.7,260064.0,office-space
280,tt0157503,Drop Dead Gorgeous,0,1999,97,"Comedy,Romance,Thriller",6.6,36845.0,drop-dead-gorgeous
281,tt0159365,Cold Mountain,0,2003,154,"Adventure,Drama,History",7.2,147268.0,cold-mountain
282,tt0159382,Croupier,0,1998,94,"Crime,Drama",7.0,21347.0,croupier
283,tt0159787,Ted,0,1998,85,Comedy,4.9,36.0,ted
284,tt0161081,What Lies Beneath,0,2000,130,"Drama,Horror,Mystery",6.6,124481.0,what-lies-beneath
285,tt0162222,Cast Away,0,2000,143,"Adventure,Drama,Romance",7.8,574506.0,cast-away
286,tt0162346,Ghost World,0,2001,111,"Comedy,Drama",7.3,119739.0,ghost-world
287,tt0162661,Sleepy Hollow,0,1999,105,"Fantasy,Horror,Mystery",7.3,351794.0,sleepy-hollow
288,tt0163025,Jurassic Park III,0,2001,92,"Action,Adventure,Sci-Fi",5.9,312310.0,jurassic-park-iii
289,tt0163187,Runaway Bride,0,1999,116,"Comedy,Romance",5.5,97795.0,runaway-bride
290,tt0163988,Bringing Out the Dead,0,1999,121,"Drama,Thriller",6.8,68347.0,bringing-out-the-dead
291,tt0164052,Hollow Man,0,2000,112,"Action,Horror,Sci-Fi",5.8,130029.0,hollow-man
292,tt0164181,Stir of Echoes,0,1999,99,"Horror,Mystery,Thriller",6.9,80656.0,stir-of-echoes
293,tt0165710,Detroit Rock City,0,1999,95,"Comedy,Music",6.8,38992.0,detroit-rock-city
294,tt0166110,Bones,0,2001,96,"Crime,Horror",4.3,7535.0,bones
295,tt0166276,Monkeybone,0,2001,93,"Animation,Comedy,Fantasy",4.7,17760.0,monkeybone
296,tt0166943,Music of the Heart,0,1999,124,"Drama,Music",6.8,12635.0,music-of-the-heart
297,tt0167190,Hellboy,0,2004,122,"Action,Adventure,Fantasy",6.8,322940.0,hellboy
298,tt0167456,Thunderbirds,0,2004,95,"Action,Adventure,Comedy",4.2,13836.0,thunderbirds
299,tt0169547,American Beauty,0,1999,122,Drama,8.4,1129984.0,american-beauty
300,tt0171580,Nurse Betty,0,2000,110,"Comedy,Crime,Drama",6.3,35103.0,nurse-betty
301,tt0173716,Cecil B. Demented,0,2000,87,"Comedy,Crime,Thriller",6.2,15733.0,cecil-b.-demented
302,tt0174480,Autumn in New York,0,2000,103,"Drama,Romance",5.6,26337.0,autumn-in-new-york
303,tt0175526,Cherry Falls,0,2000,92,"Horror,Mystery,Thriller",5.2,13529.0,cherry-falls
304,tt0175880,Magnolia,0,1999,188,Drama,8.0,307386.0,magnolia
305,tt0178868,Ringu,0,1998,96,"Horror,Mystery",7.2,68830.0,ringu
306,tt0179626,15 Minutes,0,2001,120,"Action,Crime,Drama",6.1,50204.0,15-minutes
307,tt0181689,Minority Report,0,2002,145,"Action,Crime,Mystery",7.7,539057.0,minority-report
308,tt0181865,Traffic,0,2000,147,"Crime,Drama,Thriller",7.6,205386.0,traffic
309,tt0183523,Mission to Mars,0,2000,114,"Adventure,Sci-Fi,Thriller",5.6,73002.0,mission-to-mars
310,tt0183649,Phone Booth,0,2002,81,"Crime,Thriller",7.1,264844.0,phone-booth
311,tt0184858,Reindeer Games,0,2000,104,"Action,Adventure,Crime",5.8,39758.0,reindeer-games
312,tt0185014,Wonder Boys,0,2000,107,"Comedy,Drama",7.2,63995.0,wonder-boys
313,tt0185431,Little Nicky,0,2000,90,"Comedy,Fantasy",5.3,104170.0,little-nicky
314,tt0186151,Frequency,0,2000,118,"Crime,Drama,Mystery",7.4,107016.0,frequency
315,tt0187738,Blade II,0,2002,117,"Action,Horror,Sci-Fi",6.7,213944.0,blade-ii
316,tt0188453,Birthday Girl,0,2001,93,"Comedy,Crime,Thriller",6.0,25447.0,birthday-girl
317,tt0192947,12,0,2003,124,"Comedy,Music",7.5,50.0,12
318,tt0193365,Orphan,0,2001,99,Drama,7.2,28.0,orphan
319,tt0195685,Erin Brockovich,0,2000,131,"Biography,Drama",7.4,193268.0,erin-brockovich
320,tt0195945,Next Friday,0,2000,98,Comedy,6.1,40100.0,next-friday
321,tt0196158,Ticker,0,2001,92,"Action,Crime,Thriller",3.5,7414.0,ticker
322,tt0199753,Red Planet,0,2000,106,"Action,Sci-Fi,Thriller",5.7,57402.0,red-planet
323,tt0203230,You Can Count on Me,0,2000,111,Drama,7.5,29785.0,you-can-count-on-me
324,tt0206275,Save the Last Dance,0,2001,112,"Drama,Music,Romance",6.2,61342.0,save-the-last-dance
325,tt0208092,Snatch,0,2000,104,"Comedy,Crime",8.3,834847.0,snatch
